Rank,Question ID,Category,Question,Vector Score,GPT-4o Score,Explanation,Match Path,SOW Context,SOW Filename,SOP Context
1,SCOPE_CLARITY_001,Scope Clarity,"Is the projects scope of work clearly defined in a Statement of Work (SOW) or contract, including detailed deliverables and specific in-scope and out-of-scope items?",0.034,8,"The SOW provides a clear scope of services, including roles and responsibilities, which is crucial for project clarity.",Direct SOW match,"Statement of Work No. 24 Customer1 IT – Command Center This SOW No. 24 Customer1 IT – Command Center, dated January 1st, 2026 (“SOW Effective Date”), is entered into between Providence Global Center LLP (“GLOBALCENTER”) and Customer1 System Corporation d/b/a Custoadvmer1 (“Customer1”). This Order hereby incorporates and is governed by the Master Global Services Agreement entered between GLOBALCENT",Customer1 SOW No. 24 - Command Center_Draft.docx,
2,TEAM_COMPOSITIO_001,Team Composition,"Is the delivery team appropriately staffed to meet project demands (considering volume of work, timelines, and complexity of deliverables)?",0.032,8,"The SOW specifies staffing and the use of subcontractors, which is important for meeting project demands.",Direct SOW match,"Statement of Work No. 24 Customer1 IT – Command Center This SOW No. 24 Customer1 IT – Command Center, dated January 1st, 2026 (“SOW Effective Date”), is entered into between Providence Global Center LLP (“GLOBALCENTER”) and Customer1 System Corporation d/b/a Custoadvmer1 (“Customer1”). This Order hereby incorporates and is governed by the Master Global Services Agreement entered between GLOBALCENT",Customer1 SOW No. 24 - Command Center_Draft.docx,
3,SCOPE_CLARITY_003,Scope Clarity,"Are acceptance criteria and acceptance processes for key deliverables clearly defined and agreed upon by the client (e.g., sign-offs, review periods)?",0.026,8,"Clear acceptance criteria are crucial for the SOW's deliverables, ensuring alignment with client expectations.",Via SOP match,"Statement of Work No. 25 Customer1 IT – Voice Engineering This SOW No. 25 Customer1 IT – Voice Engineering, dated January 1st, 2026 (“SOW Effective Date”), is entered into between Providence Global Center LLP (“GLOBALCENTER”) and Customer1 Health System Corporation d/b/a Customer1 (“Customer1”). This Order hereby incorporates and is governed by the Master Global Services Agreement entered between ",Customer1 SOW No. 25 -Voice Engineer_Draft.docx,"Integration Tests and gatekeeping with CI Standard Operating Procedure Version: 1.0 Date: 28th April, 2025 Owners Document History Purpose This SOP outlines the procedure for performing integration testing and enforcing quality gatekeeping through Continuous Integration (CI) pipelines. The objective is to ensure that integrated components function correctly, and only thoroughly validated code prog"
4,SCOPE_CLARITY_006,Scope Clarity,"For fixed-price engagements, are milestones and deliverables tied to payment terms and clearly defined to avoid misalignment on completion criteria?",0.025,8,"For fixed-price engagements, clear milestones and deliverables are essential to avoid misalignment, relevant to the SOW.",Via SOP match,"to perform any material tasks or series of tasks that are collectively material or provide any material resources or collection of resources that are collectively material, to complete the Services or provide the Deliverables, then GLOBALCENTER will set forth such tasks and resources in this SOW or a project plan agreed upon in writing by Customer1 (“Project Plan”). The ownership of ""Application D",Customer1 SOW No. 25 -Voice Engineer_Draft.docx,"Design Standard Operating Procedure Version: 1.0 Date: 28th April 2025 Owners Document History Purpose This SOP defines the standardized processes for software development, ensuring consistent quality, security, and efficiency in delivering software products. It covers coding standards. Scope This procedure applies to: All software engineers who design the applications/software. Infrastructure or "
5,ACCESS_CONTROL_002,Access Control,Are privileged accounts managed with just-in-time (time-bound) access and multi-factor authentication (MFA) for enhanced security?,0.028,8,"Managing privileged accounts with just-in-time access and MFA is highly relevant for security, especially with subcontractor involvement.",Direct SOW match,"Date. Role | Level | Count | Services | Rate Card TMO - Network Engineer | Senior | 2 | Network Administration, Network Operations, Network Management, Routing Switching, Wireless Network, WLAN, WPA, Access Points and WLC management, Cisco ISE management, LAN/WAN Management, Wireless users management, Meraki Admin, Wireless configuration, Network BAU Tasks and Service Management | See Revised Role",Customer1 SOW No. 24 - Command Center_Draft.docx,
6,GOVERNANCE_FRAM_002,Governance Framework,Are escalation paths and decision-making authorities clearly documented (who can approve what) to facilitate timely resolution of issues and changes?,0.025,8,"Clear escalation paths and decision-making authorities are critical for timely issue resolution, especially given the SOW's emphasis on role fulfillment.",Via SOP match,"for all automation pipelines. Integrates with Datadog and ServiceNow to trigger auto-remediation from alerts and incidents. Reports on automation success rate and MTTR reduction benefits. Ensures all scripts comply with internal standards and least privilege principles. | See Revised Role & Rate Card: 2.0 TMO –Tools Integration Engineer | Associate | 1 | Designs and maintains pipelines for log, me",Customer1 SOW No. 24 - Command Center_Draft.docx,"Architect | Approve architecture, ensure compatibility with existing platform, enforce SDL practices DevOps / SRE | Integrate SOP processes in CI/CD, monitor services, ensure telemetry pipeline uptime Security Team / CISO | Validate obfuscation, license protection, threat modelling, privacy-aware telemetry design Ensure licensing, telemetry, and tenant isolation comply with GDPR, SOC 2, and other "
7,SCOPE_CLARITY_005,Scope Clarity,"Have critical assumptions, dependencies, and constraints related to scope been validated and agreed with the client to avoid misunderstandings?",0.033,7,"The SOW mentions terms and conditions, but explicit assumptions and dependencies are not detailed, making this moderately relevant.",Direct SOW match,"Statement of Work No. 25 Customer1 IT – Voice Engineering This SOW No. 25 Customer1 IT – Voice Engineering, dated January 1st, 2026 (“SOW Effective Date”), is entered into between Providence Global Center LLP (“GLOBALCENTER”) and Customer1 Health System Corporation d/b/a Customer1 (“Customer1”). This Order hereby incorporates and is governed by the Master Global Services Agreement entered between ",Customer1 SOW No. 25 -Voice Engineer_Draft.docx,
8,VENDOR_COORDINA_004,Vendor Coordination,Has a primary point of contact or integration manager been designated to coordinate between the client and all service providers for consistent communication?,0.034,7,"The SOW identifies a lead (Director - IT Consulting), which is important for coordination, but does not specify a primary point of contact.",Direct SOW match,"for all automation pipelines. Integrates with Datadog and ServiceNow to trigger auto-remediation from alerts and incidents. Reports on automation success rate and MTTR reduction benefits. Ensures all scripts comply with internal standards and least privilege principles. | See Revised Role & Rate Card: 2.0 TMO –Tools Integration Engineer | Associate | 1 | Designs and maintains pipelines for log, me",Customer1 SOW No. 24 - Command Center_Draft.docx,
9,TEAM_COMPOSITIO_004,Team Composition,Is there a procedure for quickly onboarding new or replacement team members (with knowledge transfer) to minimize disruption to the project?,0.028,7,"The SOW mentions onboarding and ramping up resources, indicating the importance of minimizing disruption, making this question highly relevant.",Via SOP match,"Statement of Work No. 25 Customer1 IT – Voice Engineering This SOW No. 25 Customer1 IT – Voice Engineering, dated January 1st, 2026 (“SOW Effective Date”), is entered into between Providence Global Center LLP (“GLOBALCENTER”) and Customer1 Health System Corporation d/b/a Customer1 (“Customer1”). This Order hereby incorporates and is governed by the Master Global Services Agreement entered between ",Customer1 SOW No. 25 -Voice Engineer_Draft.docx,"Workflow Migration Standard Operating Procedure Version: 1.0 Date: 28th April 2025 Owners Document History Purpose The purpose of this document is to outline a standardized approach for migrating data engineering workflows between platforms or environments, with a focus on maintaining data integrity, performance, and stakeholder satisfaction. The goal is to minimize disruption and data unavailabil"
10,VENDOR_COORDINA_001,Vendor Coordination,"Are roles and responsibilities across all vendors and internal teams clearly delineated (e.g., through a multi-party RACI matrix) to avoid gaps or overlaps in accountability?",0.03,7,"The SOW allows for subcontractors with consent, indicating the need for clear roles and responsibilities, making this highly relevant.",Direct SOW match,"to perform any material tasks or series of tasks that are collectively material or provide any material resources or collection of resources that are collectively material, to complete the Services or provide the Deliverables, then GLOBALCENTER will set forth such tasks and resources in this SOW or a project plan agreed upon in writing by Customer1 (“Project Plan”). The ownership of ""Application D",Customer1 SOW No. 25 -Voice Engineer_Draft.docx,
